,Unnamed: 0,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,year
297,141,142,Comoros,3.973,0.274,0.757,,0.142,0.275,0.078,2019
298,142,143,Madagascar,3.933,0.274,0.916,,0.14800000000000002,0.16899999999999998,0.041,2019
299,143,144,Lesotho,3.802,0.489,1.169,,0.359,0.107,0.093,2019
300,144,145,Burundi,3.775,0.046,0.447,,0.22,0.17600000000000002,0.18,2019
301,145,146,Zimbabwe,3.663,0.366,1.114,,0.361,0.151,0.08900000000000001,2019
302,146,147,Haiti,3.597,0.32299999999999995,0.688,,0.026,0.419,0.11,2019
303,147,148,Botswana,3.488,1.041,1.145,,0.455,0.025,0.1,2019
304,148,149,Syria,3.462,0.619,0.378,,0.013,0.331,0.141,2019
305,149,150,Malawi,3.41,0.191,0.56,,0.443,0.218,0.08900000000000001,2019
306,150,151,Yemen,3.38,0.287,1.163,,0.14300000000000002,0.108,0.077,2019
